Player,Starting Year,Ending Year,Matches Played,Innings Batted,Not Outs,Runs Scored,Highest Score,Average Score,Centuries,Half-centuries,Ducks
Hanif Mohammad,1952,1969,55,97,8,3915,337,44,12,15,5
Imtiaz Ahmed,1952,1962,41,72,1,2079,209,29.3,3,11,9
Wazir Mohammad,1952,1959,20,33,4,801,189,27.6,2,3,8
Nazar Mohammad,1952,1952,5,8,1,277,124,39.6,1,1,1
Waqar Hasan,1952,1959,21,35,1,1071,189,31.5,1,6,0
Amir Elahi,1952,1952,5,7,1,65,47,10.8,0,0,1
Anwar Hussain,1952,1952,4,6,0,42,17,7,0,0,0
Fazal Mahmood,1952,1962,34,50,6,620,60,14.1,0,1,10
Israr Ali,1952,1959,4,8,1,33,10,4.7,0,0,1
AH Kardar,1952,1958,23,37,3,847,93,24.9,0,5,1
Khan Mohammad,1952,1958,13,17,7,100,26,10,0,0,3
Mahmood Hussain,1952,1962,27,39,6,336,35,10.2,0,0,8
Maqsood Ahmed,1952,1955,16,27,1,507,99,19.5,0,2,2
Zulfiqar Ahmed,1952,1956,9,10,4,200,63,33.3,0,1,1
Alimuddin,1954,1962,25,45,2,1091,109,25.4,2,7,6
MEZ Ghazali,1954,1954,2,4,0,32,18,8,0,0,2
Khalid Hasan,1954,1954,1,2,1,17,10,17,0,0,0
Khalid Wazir,1954,1954,2,3,1,14,9,7,0,0,0
Mohammad Aslam,1954,1954,1,2,0,34,18,17,0,0,0
Shujauddin,1954,1962,19,32,6,395,47,15.2,0,0,3
Agha Saadat Ali,1955,1955,1,1,1,8,8,0,0,0,0
W Mathias,1955,1962,21,36,3,783,77,23.7,0,3,3
Miran Bakhsh,1955,1955,2,3,2,1,1,1,0,0,1
Gul Mohammad,1956,1956,1,2,1,39,27,39,0,0,0
Saeed Ahmed,1958,1973,41,78,4,2991,172,40.4,5,16,2
Nasim-ul-Ghani,1958,1973,30,51,5,748,101,16.3,1,2,8
Haseeb Ahsan,1958,1962,12,16,7,61,14,6.8,0,0,3
SF Rehman,1958,1958,1,2,0,10,8,5,0,0,0
Mushtaq Mohammad,1959,1979,67,109,10,3852,201,38.9,10,20,4
Intikhab Alam,1959,1977,51,79,10,1510,138,21.9,1,8,10
A D'Souza,1959,1962,6,10,8,76,23,38,0,0,0
Ijaz Butt,1959,1962,8,16,2,279,58,19.9,0,1,1
Mohammad Munaf,1959,1962,4,7,2,63,19,12.6,0,0,0
Munir Malik,1959,1962,3,4,1,7,4,2.3,0,0,1
DA Sharpe,1959,1959,3,6,0,134,56,22.3,0,1,0
Javed Burki,1960,1969,25,48,4,1341,140,30.5,3,4,3
Mohammad Farooq,1960,1965,7,9,4,85,47,17,0,0,1
Afaq Hussain,1961,1964,2,4,4,66,35,0,0,0,0
Javed Akhtar,1962,1962,1,2,1,4,2,4,0,0,0
Shahid Mahmood,1962,1962,1,2,0,25,16,12.5,0,0,0
Asif Iqbal,1964,1980,68,107,9,3905,175,39.8,11,17,9
Majid Khan,1964,1983,86,128,6,4717,167,38.7,9,26,10
Khalid Ibadulla,1964,1967,4,8,0,253,166,31.6,1,0,0
Mohammad Ilyas,1964,1969,10,19,0,441,126,23.2,1,2,1
Abdul Kadir,1964,1965,4,8,0,272,95,34,0,2,2
Arif Butt,1964,1965,3,5,0,59,20,11.8,0,0,1
Farooq Hamid,1964,1964,1,2,0,3,3,1.5,0,0,1
Pervez Sajjad,1964,1973,19,20,11,123,24,13.7,0,0,2
Shafqat Rana,1964,1969,5,7,0,221,95,31.6,0,2,1
Mufasir-ul-Haq,1965,1965,1,1,1,8,8,0,0,0,0
Naushad Ali,1965,1965,6,11,0,156,39,14.2,0,0,0
Salahuddin,1965,1969,5,8,2,117,34,19.5,0,0,0
Ghulam Abbas,1967,1967,1,2,0,12,12,6,0,0,1
Niaz Ahmed,1967,1969,2,3,3,17,16,0,0,0,0
Saleem Altaf,1967,1978,27,33,13,301,53,15.1,0,1,4
Wasim Bari,1967,1984,130,138,39,1587,85,16,0,6,19
Zaheer Abbas,1969,1985,137,182,16,7625,274,45.9,19,33,12
Sadiq Mohammad,1969,1981,60,93,3,2962,166,32.9,5,12,6
Aftab Baloch,1969,1975,2,3,1,97,60,48.5,0,1,0
Aftab Gul,1969,1971,6,8,0,182,33,22.8,0,0,0
Asif Masood,1969,1977,23,22,11,103,30,9.4,0,0,6
Mohammad Nazir,1969,1984,18,21,13,148,29,18.5,0,0,3
Sarfraz Nawaz,1969,1984,99,103,21,1266,90,15.4,0,4,11
Younis Ahmed,1969,1987,6,9,1,261,62,32.6,0,2,1
Imran Khan,1971,1992,259,274,64,7461,136,35.5,7,37,14
Talat Ali,1972,1979,10,18,2,370,61,23.1,0,2,2
Wasim Raja,1973,1985,109,136,24,3603,125,32.2,4,20,13
Shafiq Ahmed,1974,1981,9,13,1,140,29,11.7,0,0,3
Javed Miandad,1975,1996,350,402,62,16168,280,47.6,31,93,14
Agha Zahid,1975,1975,1,2,0,15,14,7.5,0,0,0
Liaqat Ali,1975,1978,8,8,3,35,12,7,0,0,1
Naseer Malik,1975,1975,3,1,1,0,0,0,0,0,0
Pervez Mir,1975,1977,3,3,1,26,18,13,0,0,0
Mudassar Nazar,1976,1989,193,227,18,6718,231,32.1,10,33,13
Iqbal Qasim,1976,1988,65,64,16,588,56,12.3,0,1,12
Shahid Israr,1976,1976,1,1,1,7,7,0,0,0,0
Sikander Bakht,1976,1989,53,46,19,177,22,6.6,0,0,6
Farrukh Zaman,1976,1976,1,0,0,0,0,0,0,0,0
Mohsin Khan,1977,1986,120,151,10,4531,200,32.1,9,17,6
Haroon Rasheed,1977,1983,35,46,3,1383,153,32.2,3,6,2
Abdul Qadir,1977,1993,169,144,37,1669,61,15.6,0,3,13
Hasan Jamil,1977,1978,6,5,0,111,28,22.2,0,0,0
Aamer Hameed,1977,1978,2,0,0,0,0,0,0,0,0
Arshad Pervez,1978,1978,2,2,0,11,8,5.5,0,0,0
Azmat Rana,1978,1980,3,3,1,91,49,45.5,0,0,0
Naeem Ahmed,1978,1978,1,1,1,0,0,0,0,0,0
Anwar Khan,1979,1979,1,2,1,15,12,15,0,0,0
Ehteshamuddin,1979,1982,5,3,1,2,2,1,0,0,1
Ijaz Faqih,1980,1988,32,27,4,380,105,16.5,1,0,6
Mansoor Akhtar,1980,1990,58,63,4,1201,111,20.4,1,3,5
Taslim Arif,1980,1980,8,12,2,529,210,52.9,1,2,1
Ashraf Ali,1980,1987,23,17,8,298,65,33.1,0,2,1
Azhar Khan,1980,1980,1,1,0,14,14,14,0,0,0
Rashid Khan,1980,1985,30,19,8,246,59,22.4,0,1,1
Saleem Pervez,1980,1980,1,1,0,18,18,18,0,0,0
Tahir Naqqash,1980,1985,51,40,13,436,57,16.1,0,1,5
Tauseef Ahmed,1980,1993,101,62,33,434,35,15,0,0,9
Rizwan-uz-Zaman,1981,1989,14,22,1,365,60,17.4,0,3,2
Saleem Malik,1982,1999,379,403,59,12896,237,37.5,20,76,30
Jalal-ud-Din,1982,1985,13,5,2,8,5,2.7,0,0,1
Saleem Yousuf,1982,1990,118,106,24,1823,91,22.2,0,9,7
Shahid Mahboob,1982,1989,11,6,1,119,77,23.8,0,1,1
Shoaib Mohammad,1983,1995,107,125,12,3961,203,35.1,8,21,14
Qasim Umar,1983,1987,55,72,5,2098,210,31.3,3,9,5
Azeem Hafeez,1983,1985,32,31,12,179,24,9.4,0,0,3
Ramiz Raja,1984,1997,249,285,19,8569,122,32.2,11,52,21
Wasim Akram,1984,2003,454,423,74,6603,257,18.9,3,13,45
Anil Dalpat,1984,1986,23,21,4,251,52,14.8,0,1,1
Manzoor Elahi,1984,1995,59,56,15,864,52,21.1,0,2,4
Masood Iqbal,1984,1984,1,1,0,2,2,2,0,0,0
Mohsin Kamal,1984,1994,28,17,10,64,13,9.1,0,0,1
Naved Anjum,1984,1992,14,15,3,157,30,13.1,0,0,1
Saadat Ali,1984,1984,7,7,1,184,78,30.7,0,1,0
Sajid Ali,1984,1997,12,12,0,130,28,10.8,0,0,0
Zakir Khan,1984,1990,18,6,5,31,11,31,0,0,0
Zulqarnain,1985,1989,17,10,3,42,13,6,0,0,2
Ijaz Ahmed,1986,2001,308,322,32,9873,211,34,22,49,20
Asif Mujtaba,1986,1997,91,96,17,1996,113,25.3,1,14,13
Saleem Jaffar,1986,1992,53,27,17,78,10,7.8,0,0,6
Aamer Malik,1987,1994,38,42,4,1121,117,29.5,2,8,4
Shakeel Khan,1987,1987,1,1,0,0,0,0,0,0,1
Zahid Ahmed,1987,1987,2,2,1,3,3,3,0,0,1
Moin-ul-Atiq,1988,1989,5,5,0,199,105,39.8,1,0,0
Aaqib Javed,1988,1998,180,77,32,367,45,8.2,0,0,15
Haafiz Shahid,1988,1988,3,3,2,11,7,11,0,0,0
Saeed Anwar,1989,2003,296,330,19,12731,194,40.9,31,67,22
Akram Raza,1989,1995,58,37,16,346,33,16.5,0,0,7
Mushtaq Ahmed,1989,2003,195,147,50,1038,59,10.7,0,2,24
Nadeem Abbasi,1989,1989,3,2,0,46,36,23,0,0,0
Shahid Saeed,1989,1993,11,11,0,153,50,13.9,0,1,0
Sohail Fazal,1989,1989,2,2,0,56,32,28,0,0,0
Waqar Younis,1989,2003,345,258,66,1978,45,10.3,0,0,36
Aamer Sohail,1990,2000,200,235,8,7571,205,33.4,10,44,16
Moin Khan,1990,2004,285,285,48,6001,137,25.3,4,27,22
Mansoor Rana,1990,1990,2,2,0,15,10,7.5,0,0,0
Maqsood Rana,1990,1990,1,1,0,5,5,5,0,0,0
Masood Anwar,1990,1990,1,2,0,39,37,19.5,0,0,0
Nadeem Ghauri,1990,1990,7,4,2,14,7,7,0,0,1
Sajjad Akbar,1990,1990,2,1,0,5,5,5,0,0,0
Zahid Fazal,1990,1995,28,34,3,636,98,20.5,0,3,0
Inzamam-ul-Haq,1991,2007,487,540,75,20498,329,44.1,35,129,31
Rashid Latif,1992,2003,200,173,38,3078,150,22.8,1,10,12
Ata-ur-Rehman,1992,1996,43,28,12,110,19,6.9,0,0,5
Iqbal Sikander,1992,1992,4,1,1,1,1,0,0,0,0
Tanvir Mehdi,1992,1992,1,1,0,0,0,0,0,0,1
Wasim Haider,1992,1992,2,1,0,13,13,13,0,0,0
Basit Ali,1993,1996,68,76,7,2123,127,30.8,2,14,8
Aamer Hanif,1993,1995,5,4,2,89,36,44.5,0,0,0
Aamer Nazir,1993,1995,15,14,8,44,11,7.3,0,0,2
Arshad Khan,1993,2006,66,37,20,164,20,9.6,0,0,6
Ashfaq Ahmed,1993,1994,4,2,1,1,1,1,0,0,1
Ghulam Ali,1993,1995,3,3,0,53,38,17.7,0,0,0
Nadeem Khan,1993,1999,4,4,1,36,25,12,0,0,0
Shakeel Ahmed jnr,1993,1995,5,7,0,135,36,19.3,0,0,1
Irfan Bhatti,1993,1993,1,0,0,0,0,0,0,0,0
Atif Rauf,1994,1994,1,2,0,25,16,12.5,0,0,0
Kabir Khan,1994,2000,13,10,6,34,10,8.5,0,0,1
Saleem Elahi,1995,2004,60,70,5,2011,135,30.9,4,10,9
Saqlain Mushtaq,1995,2004,215,176,52,1638,101,13.2,1,2,26
Ijaz Ahmed jnr,1995,1997,4,4,1,32,16,10.7,0,0,0
Javed Qadeer,1995,1995,1,1,0,12,12,12,0,0,0
Mahmood Hamid,1995,1995,1,1,0,1,1,1,0,0,0
Mohammad Akram,1995,2001,30,24,13,38,10,3.5,0,0,6
Naeem Ashraf,1995,1995,2,2,1,24,16,24,0,0,0
Saeed Azad,1995,1996,4,4,0,65,31,16.3,0,0,0
Zafar Iqbal,1995,1995,8,6,0,48,18,8,0,0,1
Shahid Afridi,1996,2016,510,497,39,11085,156,24.2,11,51,43
Abdul Razzaq,1996,2013,334,328,76,7252,134,28.8,6,29,19
Azhar Mahmood,1996,2007,161,143,29,2395,136,21,3,4,14
Mohammad Wasim,1996,2000,43,53,4,1326,192,27.1,2,5,7
Azam Khan,1996,1998,7,6,0,130,72,21.7,0,1,0
Hasan Raza,1996,2005,22,22,1,476,77,22.7,0,3,2
Mohammad Hussain,1996,1998,15,15,7,172,31,21.5,0,0,1
Mohammad Zahid,1996,2003,16,10,3,22,7,3.1,0,0,4
Shadab Kabir,1996,2002,8,10,0,148,55,14.8,0,1,3
Shahid Anwar,1996,1996,1,1,0,37,37,37,0,0,0
Shahid Nazir,1996,2007,32,27,10,219,40,12.9,0,0,3
Zahoor Elahi,1996,1997,16,17,1,327,86,20.4,0,3,3
Ali Naqvi,1997,1998,5,9,1,242,115,30.3,1,0,0
Akhtar Sarfraz,1997,1998,4,4,0,66,25,16.5,0,0,0
Manzoor Akhtar,1997,1998,7,4,0,97,44,24.3,0,0,0
Mohammad Ramzan,1997,1997,1,2,0,36,29,18,0,0,0
Mujahid Jamshed,1997,1997,4,3,1,27,23,13.5,0,0,0
Shoaib Akhtar,1997,2011,217,153,55,926,47,9.4,0,0,23
Ali Hussain Rizvi,1997,1997,1,0,0,0,0,0,0,0,0
Mohammad Yousuf,1998,2010,370,423,52,16992,223,45.8,39,94,26
Asif Mahmood,1998,1998,2,2,0,14,14,7,0,0,1
Fazl-e-Akbar,1998,2004,7,9,4,59,25,11.8,0,0,2
Naved Ashraf,1998,2000,2,3,0,64,32,21.3,0,0,0
Shakeel Ahmed snr,1998,1998,1,1,0,1,1,1,0,0,0
Shoaib Malik,1999,2021,438,422,79,11744,245,34.2,12,61,23
Imran Nazir,1999,2012,111,115,3,2809,160,25.1,4,13,15
Wajahatullah Wasti,1999,2000,21,25,1,678,133,28.3,2,1,1
Shabbir Ahmed,1999,2007,43,26,10,98,24,6.1,0,0,4
Younis Khan,2000,2017,401,486,43,17705,313,40,41,83,43
Faisal Iqbal,2000,2010,44,60,4,1438,139,25.7,2,8,7
Atiq-uz-Zaman,2000,2000,4,5,1,60,25,15,0,0,0
Danish Kaneria,2000,2010,79,94,41,372,29,7,0,0,27
Imran Abbas,2000,2000,2,2,0,29,28,14.5,0,0,0
Irfan Fazil,2000,2000,2,3,1,19,15,9.5,0,0,0
Qaiser Abbas,2000,2000,1,1,0,2,2,2,0,0,0
Yasir Arafat,2000,2012,27,22,8,260,50,18.6,0,1,1
Misbah-ul-Haq,2001,2017,273,313,63,11082,161,44.3,10,83,17
Taufeeq Umar,2001,2014,66,105,6,3467,236,35,7,17,6
Imran Farhat,2001,2013,105,142,4,4195,128,30.4,4,27,7
Naved Latif,2001,2003,12,13,0,282,113,21.7,1,0,2
Humayun Farhat,2001,2001,6,5,0,114,39,22.8,0,0,0
Kashif Raza,2001,2001,1,1,1,2,2,0,0,0,0
Mohammad Sami,2001,2016,134,105,35,822,49,11.7,0,0,13
Kamran Akmal,2002,2017,264,281,26,6860,158,26.9,11,27,31
Mohammad Hafeez,2003,2021,383,424,34,12659,224,32.5,21,63,33
Salman Butt,2003,2010,134,162,6,5183,136,33.2,11,27,22
Yasir Hameed,2003,2010,81,105,4,3519,170,34.8,5,20,3
Asim Kamal,2003,2005,12,20,1,717,99,37.7,0,8,2
Faisal Athar,2003,2003,1,1,0,9,9,9,0,0,0
Farhan Adil,2003,2003,1,2,0,33,25,16.5,0,0,0
Junaid Zia,2003,2003,4,2,1,2,2,2,0,0,1
Naved-ul-Hasan,2003,2010,84,66,20,762,42,16.6,0,0,6
Umar Gul,2003,2016,235,159,36,1199,65,9.7,0,1,31
Yasir Ali,2003,2003,1,2,2,1,1,0,0,0,0
Bazid Khan,2004,2008,6,7,0,163,66,23.3,0,2,1
Iftikhar Anjum,2004,2010,64,34,19,242,32,16.1,0,0,4
Mohammad Khalil,2004,2005,5,5,2,9,5,3,0,0,1
Riaz Afridi,2004,2004,1,1,0,9,9,9,0,0,0
Mohammad Asif,2005,2010,66,57,23,184,29,5.4,0,0,17
Abdur Rehman,2006,2014,61,59,12,559,60,11.9,0,2,8
Fawad Alam,2007,2022,81,83,22,2171,168,35.6,6,8,7
Sarfaraz Ahmed,2007,2023,228,226,47,6138,118,34.3,6,35,7
Najaf Shah,2007,2007,1,1,0,0,0,0,0,0,1
Sohail Tanvir,2007,2017,119,68,19,612,59,12.5,0,1,6
Zulqarnain Haider,2007,2010,8,9,2,159,88,22.7,0,1,1
Nasir Jamshed,2008,2015,68,70,4,1832,112,27.8,3,10,7
Khurram Manzoor,2008,2016,26,40,1,1064,146,27.3,1,10,5
Abdur Rauf,2008,2009,8,6,0,52,31,8.7,0,0,2
Anwar Ali,2008,2016,37,26,8,392,46,21.8,0,0,0
Kamran Hussain,2008,2008,2,1,1,28,28,0,0,0,0
Khalid Latif,2008,2016,18,18,2,384,64,24,0,2,2
Mansoor Amjad,2008,2008,2,1,0,5,5,5,0,0,0
Naumanullah,2008,2008,1,1,0,5,5,5,0,0,0
Saeed Ajmal,2008,2015,211,146,48,866,50,8.8,0,1,23
Shoaib Khan jnr,2008,2008,4,4,0,65,50,16.3,0,1,1
Sohail Khan,2008,2017,27,19,4,278,65,18.5,0,1,0
Wahab Riaz,2008,2020,151,124,26,1187,54,12.1,0,3,23
Rizwan Ahmed,2008,2008,1,0,0,0,0,0,0,0,0
Samiullah Khan,2008,2008,2,0,0,0,0,0,0,0,0
Ahmed Shehzad,2009,2019,152,164,3,5033,176,31.3,10,25,10
Umar Akmal,2009,2019,219,219,33,5887,129,31.7,3,34,19
Mohammad Amir,2009,2024,155,114,29,1179,73,13.9,0,2,14
Mohammad Talha,2009,2014,7,6,1,34,19,6.8,0,0,2
Shahzaib Hasan,2009,2010,13,13,0,216,50,16.6,0,1,3
Azhar Ali,2010,2022,148,231,14,8934,302,41.2,22,47,22
Asad Shafiq,2010,2020,145,194,9,6167,137,33.3,12,36,18
Adnan Akmal,2010,2014,26,33,6,653,64,24.2,0,3,2
Mohammad Irfan,2010,2019,85,44,27,80,14,4.7,0,0,10
Tanvir Ahmed,2010,2013,8,8,2,188,57,31.3,0,1,0
Umar Amin,2010,2018,34,33,1,512,59,16,0,1,4
Yasir Shah,2011,2022,74,85,14,1056,113,14.9,1,0,12
Aizaz Cheema,2011,2012,26,12,9,27,9,9,0,0,0
Hammad Azam,2011,2015,15,10,3,110,36,15.7,0,0,0
Junaid Khan,2011,2019,106,60,29,188,25,6.1,0,0,11
Mohammad Salman,2011,2011,10,8,1,52,19,7.4,0,0,2
Rameez Raja (2),2011,2011,2,2,0,24,23,12,0,0,0
Usman Salahuddin,2011,2018,3,4,0,50,33,12.5,0,0,0
Awais Zia,2012,2014,5,5,0,70,23,14,0,0,0
Mohammad Ayub,2012,2012,1,2,0,47,25,23.5,0,0,0
Rahat Ali,2012,2018,35,38,17,144,35,6.9,0,0,10
Raza Hasan,2012,2014,11,5,4,18,13,18,0,0,1
Shakeel Ansar,2012,2012,2,1,0,0,0,0,0,0,1
Shan Masood,2013,2025,70,106,5,2938,156,29.1,6,15,12
Haris Sohail,2013,2023,72,81,7,2728,147,36.9,4,18,3
Sharjeel Khan,2013,2021,44,45,0,1262,152,28,1,8,2
Asad Ali,2013,2013,6,2,0,13,11,6.5,0,0,0
Bilawal Bhatti,2013,2015,21,14,4,182,39,18.2,0,0,2
Ehsan Adil,2013,2015,9,8,1,48,15,6.9,0,0,2
Sohaib Maqsood,2013,2021,53,50,4,1054,89,22.9,0,5,3
Usman Shinwari,2013,2019,34,7,4,8,6,2.7,0,0,2
Zulfiqar Babar,2013,2016,27,26,15,206,56,18.7,0,1,2
Imran Khan,2014,2019,10,10,3,16,6,2.3,0,0,5
Saad Nasim,2014,2015,6,5,1,143,77,35.8,0,1,1
Babar Azam,2015,2025,307,353,38,14472,196,45.9,31,99,19
Mohammad Rizwan,2015,2025,228,239,48,8300,171,43.5,8,56,11
Iftikhar Ahmed,2015,2024,93,84,22,1672,109,27,1,5,3
Aamer Yamin,2015,2018,6,4,3,110,62,110,0,1,0
Bilal Asif,2015,2018,8,11,0,113,38,10.3,0,0,3
Imad Wasim,2015,2024,126,89,32,1540,64,27,0,6,6
Imran Khan (1),2015,2015,3,1,0,0,0,0,0,0,1
Mukhtar Ahmed,2015,2015,6,6,0,192,83,32,0,2,0
Nauman Anwar,2015,2015,1,1,0,18,18,18,0,0,0
Rafatullah Mohmand,2015,2015,3,3,0,39,23,13,0,0,1
Sami Aslam,2015,2017,17,29,1,836,91,29.9,0,7,0
Zafar Gohar,2015,2021,2,3,0,86,37,28.7,0,0,0
Hasan Ali,2016,2025,139,95,28,893,59,13.3,0,2,15
Mohammad Nawaz (3),2016,2024,102,76,19,1027,53,18,0,1,5
Rumman Raees,2016,2018,17,5,2,27,16,9,0,0,1
Imam-ul-Haq,2017,2025,99,121,10,4699,157,42.3,12,29,7
Fakhar Zaman,2017,2025,173,173,9,5624,210,34.3,11,29,11
